"ID","gender","age_group","age","edu","work_status","salary_or_ind","no_prof_activity","CSP","region","departement","commune_type","region_uda5","situation_dom","n_pers_dom","maladies1","maladies2","maladies3","maladies4","maladies5","maladies6","maladies7","maladies8","tf_femalemosq","example_dce","choice1","certainty1","choice2","certainty2","choice3","certainty3","choice4","certainty4","choice5","certainty5","choice6","certainty6","choice7","certainty7","choice8","certainty8","choice9","certainty9","choice10","certainty10","exercise_difficulty","freq_prevention","prev_activity1","prev_activity2","prev_activity3","prev_activity4","prev_activity5","prev_activity6","prev_activity7","prev_activity8","prev_activity9","prev_activity_other","eco_products","ac","hist_mborne","confiance_nat","confiance_reg","disease_prob","disease_fear","gmo_mosquito","housing_type","housing_other","langue","precarity","pregnant","dep_children","chronic_dis","freq_bites_cat","freq_bites_num","diet","diet_other","healthinfo1","healthinfo2","healthinfo3","healthinfo4","healthinfo5","healthinfo6","healthinfo_other","count_prev","activity_gouttieres","activity_pieges","activity_vetements","activity_insecticide","activity_moustiquaires","activity_vidage","activity_spirales","activity_repulsif","activity_recipients","mbd_maladie","mbd_know","confiance","threat","place","edu2","precarity2","age_group2","risk","asc_b_mean","b_part2_mean","b_part3_mean","b_part4_mean","b_freq_mean","b_env2_mean","b_env3_mean","b_se2_mean","b_se3_mean"
"11","Woman","30 to 39",35,"CAP/BEP (ou autre diplôme technique)","Sans activité professionnelle actuelle","","Au chômage","Inactifs","Pays de la Loire","Mayenne - (53)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North West","En couple","2 personnes","Le paludisme","","","","","","","","Je ne sais pas","Non, allez directement aux 10 votes","A",5,"B",5,"B",5,"A",5,"B",5,"B",5,"B",6,"B",5,"B",5,"B",5,5,"Several times a week","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Usage de bougies et/ou de spirales anti-moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Utilisation de moustiquaires (sur les fenêtres)","","","","","","Oui","Non","No or unsure",8,7,5,10,9,"Appartement","","No","Yes, sometimes","No","No","No","Often","5 to 10 times per week","Reduced-meat diet","","Les médias (journaux, magazines, télévision, radio)","Vos amis, voisins ou autres sources communautaires","Famille","Professionnels de santé","","","",5,"Yes","No","No","No","Yes","Yes","Yes","No","Yes",1,1,7.5,7.5,"Pays de la Loire Ville (entre 20 000 et 100 000 habitants)","Lower than secondary school","Yes",NA,"Medium exposure",0.302252449683176,-0.820101062216155,-0.561493823579088,-0.930706502947665,-0.791109691652999,-1.83883531863554,-0.997531570138382,-0.505146110713401,-1.18020563128461
"12","Man","30 to 39",38,"CAP/BEP (ou autre diplôme technique)","Sans activité professionnelle actuelle","","Homme/Femme au foyer","Inactifs","Normandie","Orne - (61)","Small town (between 2.000 and 20.000 inhabitants)","North West","En famille","2 personnes","Le chikungunya","","","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","B",7,"B",8,"A",8,"A",6,"B",7,"B",8,"A",6,"B",8,"B",6,"B",8,6,"Never","","","","","","","","","","","","Non","No or unsure",7,8,1,1,4,"Appartement","","No","Yes, sometimes","","Yes","No","Never or almost never","Never","Reduced-meat diet","","Famille","Professionnels de santé","","","","","",0,"No","No","No","No","No","No","No","No","No",1,1,7.5,1,"Normandie Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Lower than secondary school","Yes",NA,"Low exposure",0.651591941205044,-0.494180414407847,-0.629681498591845,-0.745537505076755,-0.562065277678714,-1.2683393172256,-1.18057641859604,0.189879608714204,-1.15682732823419
"13","Woman","60 to 69",66,"Bac (général, pro et technologique)","Retraité(e)","","","Inactifs","Pays de la Loire","Maine-et-Loire - (49)","Small town (between 2.000 and 20.000 inhabitants)","North West","En couple","2 personnes","La dengue","Le chikungunya","","","","","","","Vrai","Oui, montrez-moi un exemple","B",6,"B",8,"A",7,"B",8,"B",9,"B",8,"B",8,"B",10,"A",6,"B",8,2,"A few times","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Le port des vêtements longs, amples et clairs","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","","","","","","","Oui","Non","No or unsure",9,9,8,10,5,"Maison individuelle","","No","No, never","","No","Yes","Sometimes","Less than once a week","Omnivore","","Professionnels de santé","Votre propre recherche par internet","","","","","",4,"Yes","No","Yes","Yes","No","No","No","No","Yes",2,2,9,9,"Pays de la Loire Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Equal to secondary school","No",NA,"Medium exposure",1.2512981748609,0.771686773618247,0.780769986824105,1.04965962252253,-0.210567317252057,-2.67588934695786,-2.09984154842904,-0.307306742938976,-2.81728968754298
"14","Woman","60 to 69",67,"Bac+5 (Master, écoles d'ingénieurs, écoles d'arts, DEA, DESS, etc.)","Retraité(e)","","","Inactifs","Ile-de-France","Paris - (75)","Large city (>100 000 inhabitants)","Paris region","En couple","2 personnes","Le chikungunya","Le paludisme","","","","","","","Faux","Non, allez directement aux 10 votes","A",7,"B",6,"B",6,"A",5,"A",6,"B",7,"B",8,"B",7,"B",7,"B",6,7,"Several times a week","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Usage des pièges à moustiques","Usage de bougies et/ou de spirales anti-moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","","","","","","","Oui","Non","No or unsure",8,7,7,9,5,"Appartement","","Yes","Yes, sometimes","","No","Yes","Often","1 to 5 times per week","Reduced-meat diet","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","Votre propre recherche par internet","","","","",4,"Yes","Yes","No","No","No","Yes","Yes","No","No",2,2,7.5,8,"Ile-de-France Grande ville (plus de 100 000 habitants)","5 or more years beyond secondary school","Yes",NA,"High exposure",-0.984442638348172,-2.25991948624822,-1.97990133566996,-1.97664082031629,-0.391001448481291,-0.627425253353852,0.16671533585996,-1.88813819100093,-1.27741234861857
"15","Woman","60 to 69",67,"CAP/BEP (ou autre diplôme technique)","Retraité(e)","","","Inactifs","Centre-Val de Loire","Loiret - (45)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North West","Seul","1 personne","Le paludisme","Le chikungunya","La dengue","","","","","","Faux","Non, allez directement aux 10 votes","B",4,"B",4,"A",8,"B",5,"B",8,"B",10,"B",6,"B",8,"A",4,"B",8,2,"A few times","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage de bougies et/ou de spirales anti-moustiques","","","","","","","","","Non","Non","No or unsure",7,7,3,5,5,"Appartement","","No","No, never","","No","No","Sometimes","Less than once a week","Omnivore","","Professionnels de santé","","","","","","",2,"No","No","No","Yes","No","No","Yes","No","No",3,3,7,4,"Centre-Val de Loire Ville (entre 20 000 et 100 000 habitants)","Lower than secondary school","No",NA,"Medium exposure",1.26586789645769,0.839283805152051,0.849742494712726,1.09335535512436,-0.200868057899227,-2.66087197515686,-2.1079885626641,-0.247725298737096,-2.79539732840629
"16","Man","70 to 79",71,"CAP/BEP (ou autre diplôme technique)","Retraité(e)","","","Inactifs","Nouvelle-Aquitaine","Pyrénées-Atlantiques - (64)","Village (<2 000 inhabitants)","South West","En couple","2 personnes","Le chikungunya","La dengue","Le paludisme","","","","","","Faux","Oui, montrez-moi un exemple","A",5,"B",7,"A",9,"B",7,"B",9,"B",9,"B",9,"B",9,"B",1,"B",7,1,"Never","","","","","","","","","","","","Non","No or unsure",7,7,5,9,5,"Maison individuelle","","No","No, never","","No","Yes","Never or almost never","Never","Reduced-meat diet","","Professionnels de santé","Votre propre recherche par internet","","","","","",0,"No","No","No","No","No","No","No","No","No",3,3,7,7,"Nouvelle-Aquitaine Village / Zone rurale (moins de 2 000 habitants)","Lower than secondary school","No",NA,"High exposure",0.672684743314833,0.0294957541805342,0.211399686083578,-0.254432536011149,-0.614448758773562,-3.87282275860743,-2.10860357292896,-0.76588969074835,-2.3473174628448
"17","Woman","70 to 79",75,"Bac+2 (BTS ou autre)","Retraité(e)","","","Inactifs","Provence-Alpes-Côte d'Azur","Var - (83)","Medium-sized city (between 20 000 and 100 000 inhabitants)","South East","En couple","2 personnes","Le chikungunya","La dengue","Le paludisme","","","","","","Vrai","Non, allez directement aux 10 votes","A",7,"B",7,"A",6,"A",8,"A",8,"B",7,"B",7,"A",8,"B",8,"A",7,4,"Never","","","","","","","","","","","","Oui","No or unsure",8,9,4,7,2,"Appartement","","No","No, never","","No","Yes","Never or almost never","Never","Omnivore","","Professionnels de santé","","","","","","",0,"No","No","No","No","No","No","No","No","No",3,3,8.5,5.5,"Provence-Alpes-Côte d'Azur Ville (entre 20 000 et 100 000 habitants)","2–4 years beyond secondary school","No",NA,"High exposure",-2.75954616968427,-2.24408569786492,-1.2493923757462,-2.75631656639104,-0.0691807118712952,-0.548800174731994,0.873104768206158,-2.92335630769954,-2.26074705965133
"18","Woman","70 to 79",74,"Brevet de collèges ou BEPC","Retraité(e)","","","Inactifs","Auvergne-Rhône-Alpes","Rhône - (69)","Large city (>100 000 inhabitants)","South East","Seul","1 personne","Le paludisme","La dengue","Le chikungunya","","","","","","Faux","Non, allez directement aux 10 votes","B",7,"B",3,"A",7,"A",7,"B",7,"B",7,"B",7,"A",5,"B",4,"B",3,3,"Never","","","","","","","","","","","","Non","No or unsure",3,3,5,6,9,"Appartement","","No","No, never","","No","Yes","Sometimes","Less than once a week","Omnivore","","Professionnels de santé","Votre propre recherche par internet","","","","","",0,"No","No","No","No","No","No","No","No","No",3,3,3,5.5,"Auvergne-Rhône-Alpes Grande ville (plus de 100 000 habitants)","Lower than secondary school","No",NA,"High exposure",-1.53592758042448,-1.02342095026494,0.0907165216925404,-1.87759560488266,-0.439187174134046,-1.57636830904218,-0.251753375955464,-1.96927360739449,-3.05713994820121
"19","Woman","40 to 49",47,"CAP/BEP (ou autre diplôme technique)","Sans activité professionnelle actuelle","","Homme/Femme au foyer","Inactifs","Hauts-de-France","Somme - (80)","Village (<2 000 inhabitants)","North East","En couple","2 personnes","Le chikungunya","La dengue","","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","B",5,"A",5,"B",6,"A",6,"B",5,"B",5,"A",5,"B",6,"A",5,"B",5,8,"Several times a week","Usage des répulsifs cutanés","","","","","","","","","","Non","Non","No or unsure",6,6,4,4,5,"Maison individuelle","","No","No, never","No","No","No","Sometimes","Less than once a week","Reduced-meat diet","","Votre propre recherche par internet","","","","","","",1,"No","No","No","No","No","No","No","Yes","No",2,2,6,4,"Hauts-de-France Village / Zone rurale (moins de 2 000 habitants)","Lower than secondary school","No",NA,"Low exposure",1.48256351485073,0.545604574498653,-0.153511235581626,0.54524675988274,-0.27522478051337,-0.329211270870625,-1.31215266925678,1.67981557848867,0.464463042645039
"20","Woman","40 to 49",49,"Bac+3/4 (Licence, Maîtrise)","Profession intermédiaire (technicien(ne), contremaitre, agent de maitrise, catégorie B de la fonction publique)","Salarié(e)","","CSP+","Ile-de-France","Val-d'oise - (95)","Medium-sized city (between 20 000 and 100 000 inhabitants)","Paris region","En famille","3 personnes","La dengue","Le chikungunya","","","","","","","Faux","Non, allez directement aux 10 votes","B",5,"A",1,"B",1,"A",1,"A",1,"B",10,"B",1,"A",1,"B",1,"B",5,1,"Several times a week","Usage des répulsifs cutanés","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Usage de bougies et/ou de spirales anti-moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage des pièges à moustiques","Le port des vêtements longs, amples et clairs","","","","Oui","Non","No or unsure",7,7,10,5,5,"Maison mitoyenne","","No","No, never","No","Yes","No","Often","1 to 5 times per week","Vegetarian","","Votre propre recherche par internet","","","","","","",7,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",2,2,7,7.5,"Ile-de-France Ville (entre 20 000 et 100 000 habitants)","2–4 years beyond secondary school","No",NA,"Medium exposure",-2.19537270500813,-2.21173730800222,-1.49076448123737,-2.97023355281809,-0.176523884042217,-0.101230008126992,0.717926388056784,-2.22863882662015,-1.66321113813534
"21","Man","70 to 79",79,"CAP/BEP (ou autre diplôme technique)","Retraité(e)","","","Inactifs","Grand Est","Bas-Rhin - (67)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North East","En couple","2 personnes","Le chikungunya","La dengue","Le paludisme","","","","","","Vrai","Oui, montrez-moi un exemple","B",7,"B",7,"A",7,"A",7,"A",7,"A",7,"B",7,"A",7,"A",7,"A",7,5,"A few times","L’entretien des gouttières pour faciliter le bon écoulement des eaux","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Le port des vêtements longs, amples et clairs","","","","","","","","","Non","No or unsure",2,3,1,7,1,"Appartement","","No","No, never","","No","Yes","Sometimes","Less than once a week","Omnivore","","Vos amis, voisins ou autres sources communautaires","Votre propre recherche par internet","","","","","",3,"Yes","No","Yes","No","No","No","No","No","Yes",3,3,2.5,4,"Grand Est Ville (entre 20 000 et 100 000 habitants)","Lower than secondary school","No",NA,"High exposure",-2.20958326504536,-1.21471969685598,-0.444320014979666,-0.89782954346144,0.449155808845817,0.965230767571961,1.14876168391944,-2.16090453682241,-2.10608092876731
